gene_id,baseMean,log2FC,lfcSE,stat,p_value,p_adj
TUBB6,1099.4483325324773,2.3696057682024354,0.5356673835204102,4.423651394694536,9.704656928766041e-06,0.0008345519725892357
BATF2,695.9805502472886,-2.4639750441804757,0.6874914075009888,-3.5840084942107904,0.0003383610736888461,0.011637690615317725
OAS2,9567.084534091468,-2.2992675875640356,0.5657080002387477,-4.064407055572253,4.815472290543537e-05,0.002846093055843927
ALOXE3,115.79354360392807,3.5096187554183187,0.7216528096579431,4.863306438288304,1.154409123789676e-06,0.00015107071120051677
CAPN14,1952.6688568455866,2.558016257961462,0.7006730381435406,3.6507987587748794,0.00026142601976684527,0.009682372170955267
SERPINB7,208.78748866406866,2.5088993006774887,0.7416616648085028,3.382808387872234,0.0007174867273858868,0.019417600439397036
BTBD11,216.77689927222326,2.173533650496434,0.43327920792116736,5.016473467362633,5.262854049638538e-07,8.459423065395627e-05
USP30-AS1,51.425332303844314,-2.412873804480007,0.5630655316348665,-4.285245089455579,1.8253784019279128e-05,0.0013606894374318674
PGBD5,97.94178331681395,3.5376571387772864,0.7441479598851088,4.753970083212316,1.994605654027905e-06,0.00023658774236983408
KRT10,2122.1067556765865,2.19473091701218,0.5608744214056347,3.91305225064794,9.113680485442518e-05,0.00456075614003353
CD109,416.8741472097453,2.6910682823293244,0.6175763458237173,4.35746657158639,1.315765867042517e-05,0.001082768284558098
SLC35G2,88.26755126244127,2.0209897766268403,0.4888704270677823,4.1339988363555245,3.5650527882430096e-05,0.002245983256593096
TNFRSF10D,518.7752610372,2.310647048902177,0.6648428470262423,3.475478542391496,0.0005099427864673208,0.015296793846737093
SP6,132.145563588755,2.304647872519525,0.44697024903407345,5.156154973401455,2.5207229749126855e-07,5.1957862373974054e-05
LINC00330,48.1071605031115,2.141260840184565,0.6658003441105613,3.216070491890572,0.0012995890566637133,0.028813309289740394
LYPD3,8454.099677358745,4.128721151984516,0.5609634651196526,7.360053566240481,1.8383644407811562e-13,3.513114446332789e-10
SPP1,263.9406516535886,-2.7266749333979527,0.5059760213909189,-5.3889410132566615,7.08740611662524e-08,1.7666130115918477e-05
S100A9,71118.33997590642,3.243507363574942,0.8682310428042609,3.735765255638501,0.00018714518941480074,0.0077187292871586525
S100A2,14760.618694808249,3.6740586858738444,0.5945523020335955,6.179538239625283,6.428936126512026e-10,4.09523231258816e-07
LMO7DN-IT1,13.756411660331981,2.2454542207919155,0.6760164304242055,3.3215971087905003,0.0008950383070966873,0.022738203609683788
CALML5,1339.417607458424,3.0544168436252743,0.7943368631545428,3.8452412135265837,0.00012043390802632869,0.005620223713027547
LINC00551,6.71362755083707,4.145648395769661,1.0992781407924532,3.771246094988412,0.00016243438111367503,0.007037697861341459
DSC3,2389.810018429533,3.1129833448427906,0.4396128917954975,7.081192119113086,1.429195990276136e-12,2.234612894250842e-09
SPRR2D,3518.369922084719,5.230608405919185,1.3370231242260524,3.91213009793452,9.148560197171742e-05,0.00456075614003353
NMU,524.6652771132025,2.4195615064004508,0.36843226518466543,6.567181365583494,5.127657920394343e-11,4.899477142936794e-08
KRT5,37789.99638178223,3.063013436974895,0.44548965397339674,6.875610712067869,6.172484732142052e-12,8.166197300623934e-09
EMP1,9732.399190920123,2.0484825728860683,0.5658415295952238,3.620240766617918,0.0002943290081076883,0.010622751624786212
CYSRT1,790.4176069996399,2.7349109554736453,0.5245892057316262,5.213433531594233,1.853769723137042e-07,4.035820945346074e-05
PLAT,4960.362335069744,4.160297700418209,0.8070982703626665,5.154635876680538,2.5412423929490217e-07,5.1957862373974054e-05
PDE1C,38.32881032503552,-2.549261720287253,0.760900287445374,-3.350322982326732,0.0008071738247956328,0.02122372234820126
XAF1,2880.9199825481683,-2.8942832679857373,0.4921376935691278,-5.881043670919699,4.07687572705311e-09,1.5581819028796985e-06
SMILR,14.75785976802026,2.562745669394062,0.758707474625319,3.3777783336847333,0.0007307395965877538,0.019637484877676217
